model,user_index,user_id,rank,item_index,anime_id,title,genre,type,validation_hit
hybrid_warp_style,0,93,10,2048,20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",TV,False
hybrid_warp_style,749,36560,1,688,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,False
hybrid_warp_style,749,36560,2,9,20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,False
hybrid_warp_style,749,36560,3,1590,10620,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,False
hybrid_warp_style,749,36560,4,1269,6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,False
hybrid_warp_style,749,36560,5,906,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,True
hybrid_warp_style,749,36560,6,1628,11111,Another,"Horror, Mystery, School, Supernatural, Thriller",TV,False
hybrid_warp_style,749,36560,7,1140,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,False
hybrid_warp_style,749,36560,8,1066,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,False
hybrid_warp_style,749,36560,9,1289,6746,Durarara!!,"Action, Mystery, Supernatural",TV,False
hybrid_warp_style,749,36560,10,1499,9919,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,False
hybrid_warp_style,1497,73461,1,706,1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,False
hybrid_warp_style,1497,73461,2,1376,8074,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",TV,False
hybrid_warp_style,1497,73461,3,798,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,False
hybrid_warp_style,1497,73461,4,1066,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,False
hybrid_warp_style,1497,73461,5,829,2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,False
hybrid_warp_style,1497,73461,6,82,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,False
hybrid_warp_style,1497,73461,7,906,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,False
hybrid_warp_style,1497,73461,8,1059,4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,False
hybrid_warp_style,1497,73461,9,462,849,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,False
hybrid_warp_style,1497,73461,10,1140,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,False
